,BA,Accuracy,Recall,f1_score,roc_auc,pr_auc,cv,data,train_time,prediction_time,alpha,sigma_mul,T,t,cutoff
0,0.5977443609022557,0.8785714285714286,0.9097744360902256,0.9343629343629345,0.7669172932330827,0.11958400912168637,9,ECG200,15.175707340240479,5.602836608886719e-05,0.05,1.5,0.5,10,0.06
0,0.6535510525280346,0.9290322580645162,0.9592760180995475,0.9625425652667423,0.8284477670666929,0.34333920019705944,0,ECGFiveDays,193.70142936706543,0.0001952648162841797,0.05,1.5,0.5,10,0.06
0,0.6798150698406453,0.9397849462365592,0.9683257918552036,0.9683257918552036,0.8238245130828252,0.2844619696385357,1,ECGFiveDays,127.51307892799377,0.0003104209899902344,0.05,1.5,0.5,10,0.06
0,0.6363368089710801,0.9354838709677419,0.9683257918552036,0.9661399548532732,0.850383631713555,0.2907141610555527,2,ECGFiveDays,132.4124186038971,0.00047087669372558594,0.05,1.5,0.5,10,0.06
0,0.6524198308085776,0.9268817204301075,0.9570135746606335,0.9613636363636363,0.7881172535903994,0.29141138690487056,3,ECGFiveDays,95.6762330532074,0.0004405975341796875,0.05,1.5,0.5,10,0.06
0,0.6981605351170569,0.9354838709677419,0.9615384615384616,0.965909090909091,0.7973637615581349,0.31493398182196786,4,ECGFiveDays,91.60491299629211,0.00019407272338867188,0.05,1.5,0.5,10,0.06
0,0.6798150698406453,0.9397849462365592,0.9683257918552036,0.9683257918552036,0.9042888058233327,0.3222616291812828,5,ECGFiveDays,193.33396124839783,0.00041604042053222656,0.05,1.5,0.5,10,0.06
0,0.6764214046822743,0.9333333333333333,0.9615384615384616,0.9648127128263339,0.810938422191619,0.3222936667560752,6,ECGFiveDays,134.11884450912476,0.00017952919006347656,0.05,1.5,0.5,10,0.06
0,0.6329431438127091,0.9290322580645162,0.9615384615384616,0.9626274065685164,0.8295298052331301,0.2923193921832843,7,ECGFiveDays,128.8925335407257,0.00016117095947265625,0.05,1.5,0.5,10,0.06
0,0.6775526264017313,0.9354838709677419,0.9638009049773756,0.9659863945578231,0.8012000786936849,0.293206415334331,8,ECGFiveDays,98.8108127117157,0.00021409988403320312,0.05,1.5,0.5,10,0.06
0,0.6179913436946685,0.9397849462365592,0.9751131221719457,0.9685393258426966,0.8513673027739523,0.24795671752173348,9,ECGFiveDays,87.51812410354614,0.0001900196075439453,0.05,1.5,0.5,10,0.06
0,0.575,0.9142857142857143,0.95,0.9547738693467336,0.918,0.37673028725660307,0,GunPoint,19.53537917137146,7.295608520507812e-05,0.05,1.5,0.5,10,0.06
0,0.87,0.9333333333333333,0.94,0.964102564102564,0.96,0.6432516339869281,1,GunPoint,13.208353757858276,5.030632019042969e-05,0.05,1.5,0.5,10,0.06
0,0.675,0.9238095238095239,0.95,0.9595959595959594,0.8140000000000001,0.17945511010728404,2,GunPoint,10.27172040939331,4.792213439941406e-05,0.05,1.5,0.5,10,0.06
0,0.7749999999999999,0.9333333333333333,0.95,0.9644670050761421,0.936,0.42606345408976987,3,GunPoint,11.588460922241211,4.696846008300781e-05,0.05,1.5,0.5,10,0.06
0,0.77,0.9238095238095239,0.94,0.9591836734693877,0.91,0.2585550082101806,4,GunPoint,13.038392782211304,4.220008850097656e-05,0.05,1.5,0.5,10,0.06
0,0.66,0.8952380952380953,0.92,0.9435897435897437,0.87,0.1717306669938249,5,GunPoint,19.55099582672119,7.653236389160156e-05,0.05,1.5,0.5,10,0.06
0,0.56,0.8857142857142857,0.92,0.9387755102040817,0.838,0.12973690123690124,6,GunPoint,13.680840969085693,4.9591064453125e-05,0.05,1.5,0.5,10,0.06
0,0.57,0.9047619047619048,0.94,0.9494949494949495,0.7839999999999999,0.12609345928429375,7,GunPoint,10.74385380744934,4.9114227294921875e-05,0.05,1.5,0.5,10,0.06
0,0.685,0.9428571428571428,0.97,0.97,0.816,0.22540749105966496,8,GunPoint,11.07808232307434,4.792213439941406e-05,0.05,1.5,0.5,10,0.06
0,0.665,0.9047619047619048,0.93,0.9489795918367346,0.932,0.40975013290802764,9,GunPoint,11.309324502944946,5.1975250244140625e-05,0.05,1.5,0.5,10,0.06
0,0.5077669902912622,0.7870370370370371,0.8155339805825242,0.8795811518324607,0.44271844660194176,0.039894902410880735,0,Ham,48.41538405418396,7.200241088867188e-05,0.05,1.5,0.5,10,0.06
0,0.49320388349514566,0.7592592592592593,0.7864077669902912,0.8617021276595745,0.5242718446601942,0.046550895184815554,1,Ham,41.10888361930847,7.128715515136719e-05,0.05,1.5,0.5,10,0.06
0,0.46116504854368934,0.8796296296296297,0.9223300970873787,0.9359605911330049,0.4524271844660194,0.03868951471206432,2,Ham,47.400601863861084,0.00018143653869628906,0.05,1.5,0.5,10,0.06
0,0.483495145631068,0.7407407407407407,0.7669902912621359,0.8494623655913979,0.5844660194174757,0.05050615419107489,3,Ham,35.53303790092468,6.151199340820312e-05,0.05,1.5,0.5,10,0.06
0,0.6320388349514563,0.8425925925925926,0.8640776699029126,0.9128205128205128,0.5592233009708738,0.08545926521536276,4,Ham,41.5810489654541,5.9604644775390625e-05,0.05,1.5,0.5,10,0.06
0,0.5029126213592233,0.7777777777777778,0.8058252427184466,0.8736842105263158,0.4854368932038835,0.041960283408641816,5,Ham,49.68432068824768,7.724761962890625e-05,0.05,1.5,0.5,10,0.06
0,0.583495145631068,0.75,0.7669902912621359,0.854054054054054,0.7145631067961165,0.10921297394659493,6,Ham,40.15272521972656,6.246566772460938e-05,0.05,1.5,0.5,10,0.06
0,0.5980582524271845,0.7777777777777778,0.7961165048543689,0.8723404255319148,0.5106796116504855,0.0640745563674361,7,Ham,48.32682943344116,8.20159912109375e-05,0.05,1.5,0.5,10,0.06
0,0.41262135922330095,0.7870370370370371,0.8252427184466019,0.8808290155440415,0.2854368932038835,0.0298738179144782,8,Ham,33.4016637802124,6.222724914550781e-05,0.05,1.5,0.5,10,0.06
0,0.4223300970873786,0.8055555555555556,0.8446601941747572,0.8923076923076922,0.2116504854368932,0.0276707397277171,9,Ham,43.08561730384827,5.888938903808594e-05,0.05,1.5,0.5,10,0.06
0,0.4155844155844156,0.7901234567901234,0.8311688311688312,0.8827586206896552,0.2857142857142857,0.03185816474297699,0,Herring,38.80022406578064,5.435943603515625e-05,0.05,1.5,0.5,10,0.06
0,0.573051948051948,0.8641975308641975,0.8961038961038961,0.9261744966442952,0.6298701298701299,0.1005169201250437,1,Herring,30.744051694869995,4.649162292480469e-05,0.05,1.5,0.5,10,0.06
0,0.573051948051948,0.8641975308641975,0.8961038961038961,0.9261744966442952,0.6915584415584416,0.08050772198400231,2,Herring,33.746824502944946,4.291534423828125e-05,0.05,1.5,0.5,10,0.06
0,0.44805194805194803,0.8518518518518519,0.8961038961038961,0.9199999999999999,0.38636363636363635,0.03718160103605414,3,Herring,34.11528944969177,4.982948303222656e-05,0.05,1.5,0.5,10,0.06
0,0.44805194805194803,0.8518518518518519,0.8961038961038961,0.9199999999999999,0.4318181818181818,0.040454940935338565,4,Herring,28.69152808189392,4.315376281738281e-05,0.05,1.5,0.5,10,0.06
0,0.45454545454545453,0.8641975308641975,0.9090909090909091,0.9271523178807948,0.5454545454545454,0.049131455710403074,5,Herring,30.18660283088684,4.100799560546875e-05,0.05,1.5,0.5,10,0.06
0,0.547077922077922,0.8148148148148148,0.8441558441558441,0.8965517241379309,0.43506493506493504,0.046258741555215435,6,Herring,38.534204959869385,4.7206878662109375e-05,0.05,1.5,0.5,10,0.06
0,0.573051948051948,0.8641975308641975,0.8961038961038961,0.9261744966442952,0.461038961038961,0.07559712946728997,7,Herring,27.605255842208862,4.3392181396484375e-05,0.05,1.5,0.5,10,0.06
0,0.586038961038961,0.8888888888888888,0.922077922077922,0.9403973509933775,0.6948051948051948,0.11943153676941272,8,Herring,24.714097261428833,4.982948303222656e-05,0.05,1.5,0.5,10,0.06
0,0.5340909090909092,0.7901234567901234,0.8181818181818182,0.881118881118881,0.4415584415584416,0.04148689198328113,9,Herring,33.66311597824097,4.458427429199219e-05,0.05,1.5,0.5,10,0.06
0,0.5844748858447488,0.8157894736842105,0.8356164383561644,0.8970588235294118,0.7808219178082192,0.08332315832315831,0,Lightning2,44.35835313796997,4.982948303222656e-05,0.05,1.5,0.5,10,0.06
0,0.682648401826484,0.6973684210526315,0.6986301369863014,0.8160000000000001,0.8264840182648403,0.1472467320261438,1,Lightning2,45.10277223587036,5.1021575927734375e-05,0.05,1.5,0.5,10,0.06
0,0.5091324200913242,0.6710526315789473,0.684931506849315,0.7999999999999999,0.5707762557077626,0.04191648994280573,2,Lightning2,33.68514585494995,5.340576171875e-05,0.05,1.5,0.5,10,0.06
0,0.5365296803652968,0.7236842105263158,0.7397260273972602,0.8372093023255813,0.7031963470319635,0.05937009850053329,3,Lightning2,42.90335035324097,5.1021575927734375e-05,0.05,1.5,0.5,10,0.06
0,0.5639269406392694,0.7763157894736842,0.7945205479452054,0.8721804511278196,0.7853881278538812,0.0792394856493322,4,Lightning2,27.471010446548462,8.392333984375e-05,0.05,1.5,0.5,10,0.06
0,0.6894977168949772,0.7105263157894737,0.7123287671232876,0.8253968253968254,0.8858447488584476,0.22699275362318838,5,Lightning2,47.40017557144165,5.91278076171875e-05,0.05,1.5,0.5,10,0.06
0,0.410958904109589,0.7894736842105263,0.821917808219178,0.8823529411764706,0.7397260273972603,0.06858674463937622,6,Lightning2,40.65921115875244,5.1975250244140625e-05,0.05,1.5,0.5,10,0.06
0,0.5707762557077626,0.7894736842105263,0.8082191780821918,0.880597014925373,0.8036529680365296,0.08931489262371616,7,Lightning2,36.80939865112305,5.245208740234375e-05,0.05,1.5,0.5,10,0.06
0,0.730593607305936,0.7894736842105263,0.7945205479452054,0.8787878787878787,0.8036529680365296,0.08653439153439153,8,Lightning2,39.52676320075989,5.078315734863281e-05,0.05,1.5,0.5,10,0.06
0,0.3972602739726027,0.7631578947368421,0.7945205479452054,0.8656716417910448,0.6027397260273972,0.05057957393483709,9,Lightning2,27.58547329902649,5.7697296142578125e-05,0.05,1.5,0.5,10,0.06
0,0.6359894566098946,0.9334257975034674,0.9664233576642336,0.9650145772594751,0.8146796431467964,0.28488150300673276,0,MoteStrain,289.88677883148193,0.0006768703460693359,0.05,1.5,0.5,10,0.06
0,0.6878953771289538,0.9320388349514563,0.9591240875912409,0.9640498899486427,0.8420924574209245,0.44929544900298113,1,MoteStrain,221.43048667907715,0.0007066726684570312,0.05,1.5,0.5,10,0.06
0,0.6718167072181671,0.926490984743412,0.9547445255474453,0.9610580455547391,0.8670721816707219,0.38133770054923705,2,MoteStrain,211.5868203639984,0.0006501674652099609,0.05,1.5,0.5,10,0.06
0,0.6337996755879968,0.9292649098474342,0.962043795620438,0.9627465303140978,0.8619221411192215,0.2799964408122011,3,MoteStrain,176.1610689163208,0.0009353160858154297,0.05,1.5,0.5,10,0.06
0,0.6623073803730738,0.9334257975034674,0.9635036496350365,0.9649122807017544,0.8308191403081914,0.34469471597614554,4,MoteStrain,137.14705562591553,0.0010628700256347656,0.05,1.5,0.5,10,0.06
0,0.688625304136253,0.9334257975034674,0.9605839416058394,0.9648093841642228,0.8162206001622059,0.3785533700911493,5,MoteStrain,290.0638873577118,0.0007796287536621094,0.05,1.5,0.5,10,0.06
0,0.7398012976480131,0.9306518723994452,0.9518248175182482,0.9630723781388478,0.917883211678832,0.3639707119846325,6,MoteStrain,204.60132932662964,0.0007300376892089844,0.05,1.5,0.5,10,0.06
0,0.6740064882400649,0.9306518723994452,0.9591240875912409,0.9633431085043989,0.8319140308191403,0.37060835450205765,7,MoteStrain,212.16402316093445,0.0329742431640625,0.05,1.5,0.5,10,0.06
0,0.6761962692619627,0.9348127600554785,0.9635036496350365,0.9656181419166057,0.8366585563665856,0.3942244952047046,8,MoteStrain,190.17411184310913,0.0007593631744384766,0.05,1.5,0.5,10,0.06
0,0.776338199513382,0.9500693481276006,0.9693430656934306,0.9736070381231671,0.877250608272506,0.4973903079321271,9,MoteStrain,116.30351519584656,0.0007195472717285156,0.05,1.5,0.5,10,0.06
0,0.5826210826210827,0.907859078590786,0.9430199430199431,0.9511494252873562,0.8531180753402975,0.20708195157655104,0,Strawberry,164.92727184295654,0.024410247802734375,0.05,1.5,0.5,10,0.06
0,0.7272079772079771,0.9322493224932249,0.9544159544159544,0.9640287769784173,0.8735359290914846,0.35351470800900464,1,Strawberry,111.42668318748474,0.00024008750915527344,0.05,1.5,0.5,10,0.06
0,0.7578347578347578,0.940379403794038,0.9601139601139601,0.9683908045977012,0.9105729661285217,0.45826084283100577,2,Strawberry,126.51622200012207,0.024402618408203125,0.05,1.5,0.5,10,0.06
0,0.7094017094017093,0.948509485094851,0.9743589743589743,0.972972972972973,0.9533080088635645,0.37229380025593156,3,Strawberry,89.00896406173706,0.0001609325408935547,0.05,1.5,0.5,10,0.06
0,0.7037037037037037,0.9376693766937669,0.9629629629629629,0.9670958512160228,0.8896802785691674,0.39316256830221125,4,Strawberry,90.8263988494873,0.00013971328735351562,0.05,1.5,0.5,10,0.06
0,0.5811965811965811,0.9051490514905149,0.9401709401709402,0.9496402877697842,0.8855650522317189,0.22445107728289077,5,Strawberry,133.75583624839783,0.00020956993103027344,0.05,1.5,0.5,10,0.06
0,0.6923076923076923,0.9159891598915989,0.9401709401709402,0.955137481910275,0.8249446027223805,0.2614536664168347,6,Strawberry,128.28946781158447,0.00016188621520996094,0.05,1.5,0.5,10,0.06
0,0.7186609686609686,0.9159891598915989,0.9373219373219374,0.9550072568940493,0.9218106995884774,0.2526555116382319,7,Strawberry,105.77718496322632,0.00015544891357421875,0.05,1.5,0.5,10,0.06
0,0.754985754985755,0.9349593495934959,0.9544159544159544,0.9654178674351584,0.9585311807534029,0.4601367821480751,8,Strawberry,85.98018670082092,0.00015854835510253906,0.05,1.5,0.5,10,0.06
0,0.732905982905983,0.943089430894309,0.9658119658119658,0.9699570815450644,0.9450775561886674,0.3772494073122729,9,Strawberry,98.47955393791199,0.00014829635620117188,0.05,1.5,0.5,10,0.06
0,0.7357142857142858,0.8843537414965986,0.9,0.9368029739776953,0.8969387755102041,0.1749152520942046,0,ToeSegmentation1,31.14053750038147,7.176399230957031e-05,0.05,1.5,0.5,10,0.06
0,0.5214285714285715,0.8639455782312925,0.9,0.9264705882352942,0.7622448979591836,0.08890964240931698,1,ToeSegmentation1,26.790257453918457,7.963180541992188e-05,0.05,1.5,0.5,10,0.06
0,0.6428571428571428,0.8367346938775511,0.8571428571428571,0.909090909090909,0.8602040816326532,0.13941121887224467,2,ToeSegmentation1,23.42678689956665,7.62939453125e-05,0.05,1.5,0.5,10,0.06
0,0.575,0.8367346938775511,0.8642857142857143,0.9097744360902256,0.8469387755102041,0.1258680370140286,3,ToeSegmentation1,20.437129735946655,6.628036499023438e-05,0.05,1.5,0.5,10,0.06
0,0.6678571428571428,0.8843537414965986,0.9071428571428571,0.9372693726937269,0.7806122448979591,0.1546948092466793,4,ToeSegmentation1,29.45895528793335,8.058547973632812e-05,0.05,1.5,0.5,10,0.06
0,0.7892857142857144,0.8571428571428571,0.8642857142857143,0.9201520912547528,0.8377551020408164,0.19051372757117166,5,ToeSegmentation1,28.927375555038452,6.723403930664062e-05,0.05,1.5,0.5,10,0.06
0,0.5107142857142857,0.8435374149659864,0.8785714285714286,0.9144981412639406,0.5785714285714286,0.05969950703121252,6,ToeSegmentation1,26.073660850524902,8.96453857421875e-05,0.05,1.5,0.5,10,0.06
0,0.6392857142857142,0.8299319727891157,0.85,0.9049429657794678,0.7479591836734694,0.11454128239229465,7,ToeSegmentation1,21.779757022857666,7.43865966796875e-05,0.05,1.5,0.5,10,0.06
0,0.5285714285714286,0.8775510204081632,0.9142857142857143,0.9343065693430657,0.7346938775510203,0.10187148430327443,8,ToeSegmentation1,20.226358890533447,7.843971252441406e-05,0.05,1.5,0.5,10,0.06
0,0.5142857142857142,0.8503401360544217,0.8857142857142857,0.9185185185185185,0.7285714285714286,0.0964630029501745,9,ToeSegmentation1,27.82511830329895,6.985664367675781e-05,0.05,1.5,0.5,10,0.06
0,0.6102150537634409,0.8615384615384616,0.8870967741935484,0.9243697478991597,0.6841397849462366,0.2440483711511749,0,ToeSegmentation2,30.57384729385376,7.176399230957031e-05,0.05,1.5,0.5,10,0.06
0,0.6935483870967742,0.8692307692307693,0.8870967741935484,0.9282700421940928,0.7997311827956989,0.12079369014300521,1,ToeSegmentation2,30.995105743408203,6.175041198730469e-05,0.05,1.5,0.5,10,0.06
0,0.5618279569892473,0.7692307692307693,0.7903225806451613,0.8672566371681416,0.646505376344086,0.06380320262296052,2,ToeSegmentation2,22.551774978637695,7.677078247070312e-05,0.05,1.5,0.5,10,0.06
